road_width(m),number_of_floor,number_of_bedroom,area(m2),address,price(vnd)
"7,5m",2 lầu,3 phòng ngủ, 250 m2,"Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",10 triệu 
3m,1 lầu,1 phòng ngủ, 72 m2,"Đường Phạm Như Xương, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","2,5 triệu "
30m,1 lầu,1 phòng ngủ, 700 m2,"Đường Âu Cơ, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",130 triệu 
"3,5m",3 lầu,4 phòng ngủ, 80 m2,"Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",12 triệu 
3m,1 lầu,2 phòng ngủ, 80 m2,"Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",6 triệu 
3m5m,3 lầu,2 phòng ngủ, 60 m2,"Đường Lê Lợi, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",13 triệu 
10m,2 lầu,2 phòng ngủ, 80 m2,"Đường Phan Bôi, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",10 triệu 
5m,3 lầu,4 phòng ngủ, 85 m2,"Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",15 triệu 
5m,2 lầu,3 phòng ngủ, 130 m2,"Đường Hải Phòng, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng","12,5 triệu "
3m,2 lầu,3 phòng ngủ, 80 m2,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",8 triệu 
6m,2 lầu,2 phòng ngủ, 60 m2,"Đường Phan Thành Tài, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",5 triệu 
5m,3 lầu,4 phòng ngủ, 80 m2,"Đường Võ Văn Kiệt, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",20 triệu 
4m,2 lầu,2 phòng ngủ, 110 m2,"Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",8 triệu 
3m,3 lầu,2 phòng ngủ, 60 m2,"Đường Lê Duẩn, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",8 triệu 
3m,3 lầu,2 phòng ngủ, 79 m2,"Đường Phan Thanh, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",12 triệu 
5m,3 lầu,3 phòng ngủ, 40 m2,"Đường Tạ Hiện, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",10 triệu 
5m,3 lầu,3 phòng ngủ, 80 m2,"Đường Lê Duẩn, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",10 triệu 
"2,5m",2 lầu,2 phòng ngủ, 50 m2,"Đường Phan Chu Trinh, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",7 triệu 
4m,2 lầu,3 phòng ngủ, 90 m2,"Đường Đống Đa, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng","7,5 triệu "
5m5m,2 lầu,0, 41 m2,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","5,5 triệu "
5m,3 lầu,3 phòng ngủ, 80 m2,"Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",12 triệu 
4m,2 lầu,3 phòng ngủ, 40 m2,"Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",6 triệu 
5m,3 lầu,3 phòng ngủ, 80 m2,"Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",12 triệu 
"2,5m",1 lầu,2 phòng ngủ, 51 m2,"Đường Tôn Đức Thắng, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","4,5 triệu "
5m,2 lầu,3 phòng ngủ, 72 m2,"Đường Trần Đình Nam, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",6 triệu 
3m,3 lầu,3 phòng ngủ, 50 m2,"Đường Lê Hữu Trác, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",10 triệu 
10m,4 lầu,4 phòng ngủ, 60 m2,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",10 triệu 
10m,3 lầu,3 phòng ngủ, 200 m2,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",12 triệu 
5m,1 lầu,2 phòng ngủ, 200 m2,"Đường Lý Thường Kiệt, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",17 triệu 
4m,2 lầu,2 phòng ngủ, 50 m2,"Đường Hoàng Diệu, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",6 triệu 
4m,3 lầu,3 phòng ngủ, 110 m2,"Đường Hồ Xuân Hương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","13,5 triệu "
3m,3 lầu,3 phòng ngủ, 72 m2,"Đường Hoàng Diệu, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",10 triệu 
5m,3 lầu,3 phòng ngủ, 90 m2,"Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",18 triệu 
4m,2 lầu,2 phòng ngủ, 80 m2,"Đường Lý Thái Tổ, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",6 triệu 
4m,0,2 phòng ngủ, 70 m2,"Đường Lê Đình Lý, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng","4,5 triệu "
5m,4 lầu,4 phòng ngủ, 75 m2,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng","12,5 triệu "
5m,2 lầu,3 phòng ngủ, 100 m2,"Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",12 triệu 
5m,3 lầu,3 phòng ngủ, 43 m2,"Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",11 triệu 
"5,5m",2 lầu,3 phòng ngủ, 75 m2,"Đường Lương Nhữ Hộc, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",13 triệu 
3m,3 lầu,3 phòng ngủ, 72 m2,"Đường Hoàng Diệu, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",10 triệu 
10m,2 lầu,2 phòng ngủ, 53 m2,"Đường Văn Cao, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",12 triệu 
10m,3 lầu,3 phòng ngủ, 200 m2,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",12 triệu 
10m,2 lầu,2 phòng ngủ, 53 m2,"Đường Văn Cao, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",12 triệu 
10m,4 lầu,4 phòng ngủ, 60 m2,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",10 triệu 
10m,3 lầu,3 phòng ngủ, 200 m2,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",12 triệu 
10m,2 lầu,2 phòng ngủ, 53 m2,"Đường Văn Cao, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",12 triệu 
5m5m,2 lầu,3 phòng ngủ, 90 m2,"Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng","8,5 triệu "
10m,2 lầu,2 phòng ngủ, 190 m2,"Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",38 triệu 
5m,3 lầu,3 phòng ngủ, 90 m2,"Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",8 triệu 
4m,3 lầu,4 phòng ngủ, 60 m2,"Đường Hồ Xuân Hương, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",13 triệu 
3m,3 lầu,4 phòng ngủ, 60 m2,"Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",10 triệu 
3m,3 lầu,4 phòng ngủ, 60 m2,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",13 triệu 
0m,0,0, 400 m2,"Đường Lý Thường Kiệt, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",45 triệu 
10m,3 lầu,2 phòng ngủ, 108 m2,"Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",20 triệu 
10m,3 lầu,2 phòng ngủ, 108 m2,"Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",20 triệu 
10m,3 lầu,2 phòng ngủ, 108 m2,"Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",20 triệu 
3m,2 lầu,3 phòng ngủ, 52 m2,"Đường Ông Ích Khiêm, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",10 triệu 
4m,3 lầu,3 phòng ngủ, 70 m2,"Đường Đông Giang, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",15 triệu 
4m,3 lầu,3 phòng ngủ, 90 m2,"Đường Hồ Xuân Hương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",15 triệu 
10m,3 lầu,4 phòng ngủ, 66 m2,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",10 triệu 
4m,3 lầu,4 phòng ngủ, 65 m2,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",10 triệu 
3m,3 lầu,3 phòng ngủ, 50 m2,"Đường Hoàng Diệu, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng","8,5 triệu "
5m,2 lầu,3 phòng ngủ, 80 m2,"Đường Huỳnh Thúc Kháng, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng",6 triệu 
5m,4 lầu,3 phòng ngủ, 55 m2,"Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",10 triệu 
